"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 03- 13","9.3754","9.2716","9.3986","9.2288","","1.03%"
"2015- 03- 12","9.2798","9.3124","9.3503","9.2280","","-0.45%"
"2015- 03- 11","9.3214","9.2976","9.3357","9.2533","","0.15%"
"2015- 03- 10","9.3071","9.1945","9.3127","9.1582","","1.13%"
"2015- 03- 09","9.2031","9.1891","9.2184","9.1671","","0.12%"
"2015- 03- 06","9.1924","9.1665","9.2182","9.0930","","0.19%"
"2015- 03- 05","9.1747","9.1932","9.2080","9.1362","","-0.32%"
"2015- 03- 04","9.2038","9.1517","9.2134","9.1479","","0.47%"
"2015- 03- 03","9.1608","9.1730","9.2027","9.1368","","-0.23%"
"2015- 03- 02","9.1821","9.2084","9.2294","9.1608","","-0.33%"
"2015- 02- 27","9.2127","9.2242","9.2403","9.1783","","-0.22%"
"2015- 02- 26","9.2333","9.2506","9.2721","9.1836","","-0.29%"
"2015- 02- 25","9.2606","9.2851","9.3208","9.2291","","-0.36%"
"2015- 02- 24","9.2942","9.3200","9.3483","9.2811","","-0.37%"
"2015- 02- 23","9.3288","9.3213","9.3457","9.2861","","-0.01%"
"2015- 02- 20","9.3301","9.3385","9.3920","9.3107","","-0.18%"
"2015- 02- 19","9.3473","9.3234","9.3711","9.3208","","0.16%"
"2015- 02- 18","9.3326","9.2873","9.3825","9.2825","","0.38%"
"2015- 02- 17","9.2973","9.2892","9.3298","9.2659","","-0.02%"
"2015- 02- 16","9.2987","9.2331","9.3177","9.2047","","0.58%"
"2015- 02- 13","9.2449","9.2399","9.2727","9.2090","","-0.04%"
"2015- 02- 12","9.2487","9.1903","9.3516","9.1785","","0.53%"
"2015- 02- 11","9.1997","9.1946","9.2506","9.1524","","-0.05%"
"2015- 02- 10","9.2045","9.2223","9.2424","9.1627","","-0.29%"
"2015- 02- 09","9.2315","9.2034","9.2657","9.1946","","0.03%"
"2015- 02- 06","9.2286","9.2339","9.3067","9.1786","","-0.17%"
"2015- 02- 05","9.2444","9.2684","9.3297","9.2231","","-0.36%"
"2015- 02- 04","9.2781","9.2868","9.3030","9.1976","","-0.20%"
"2015- 02- 03","9.2969","9.3398","9.4175","9.2740","","-0.56%"
"2015- 02- 02","9.3495","9.3753","9.4501","9.3305","","-0.39%"
"2015- 01- 30","9.3857","9.2880","9.4317","9.2642","","0.93%"
"2015- 01- 29","9.2988","9.2274","9.3185","9.2114","","0.66%"
"2015- 01- 28","9.2375","9.1357","9.2569","9.1320","","1.01%"
"2015- 01- 27","9.1449","9.1137","9.1886","9.0984","","0.24%"
"2015- 01- 26","9.1233","9.1406","9.2051","9.1056","","-0.28%"
"2015- 01- 23","9.1489","9.1497","9.1734","9.1172","","-0.11%"
"2015- 01- 22","9.1589","9.1651","9.2491","9.1331","","-0.18%"
"2015- 01- 21","9.1756","9.1477","9.2415","9.1438","","0.20%"
"2015- 01- 20","9.1577","9.1708","9.2147","9.1432","","-0.25%"
"2015- 01- 19","9.1809","9.1634","9.2338","9.1531","","0.09%"
"2015- 01- 16","9.1727","9.2486","9.3170","9.1406","","-0.96%"
"2015- 01- 15","9.2618","9.2190","9.3028","9.1479","","0.36%"
"2015- 01- 14","9.2287","9.1384","9.3335","9.1330","","0.89%"
"2015- 01- 13","9.1477","9.1377","9.1921","9.1037","","-0.01%"
"2015- 01- 12","9.1485","9.1507","9.1907","9.0812","","-0.13%"
"2015- 01- 09","9.1608","9.1453","9.1936","9.1014","","0.06%"
"2015- 01- 08","9.1552","9.2046","9.2316","9.1262","","-0.63%"
"2015- 01- 07","9.2133","9.2721","9.2845","9.2022","","-0.74%"
"2015- 01- 06","9.2817","9.2689","9.3054","9.2148","","0.04%"
"2015- 01- 05","9.2777","9.1770","9.2887","9.1679","","1.00%"
"2015- 01- 02","9.1856","9.1091","9.2272","9.1014","","0.72%"
"2015- 01- 01","9.1197","9.1296","9.1438","9.1038","","-0.21%"
"2014- 12- 31","9.1391","9.1709","9.1937","9.0873","","-0.45%"
"2014- 12- 30","9.1808","9.1077","9.2447","9.0985","","0.69%"
"2014- 12- 29","9.1179","9.1256","9.1426","9.0944","","-0.18%"
"2014- 12- 26","9.1342","9.1646","9.1762","9.1110","","-0.44%"
"2014- 12- 25","9.1745","9.1542","9.2032","9.1508","","0.11%"
"2014- 12- 24","9.1644","9.1581","9.1906","9.1336","","-0.05%"
"2014- 12- 23","9.1691","9.1937","9.2153","9.1258","","-0.38%"
"2014- 12- 22","9.2039","9.1927","9.2039","9.1927","","-0.02%"
