,시점,KRW/USD,경제심리지수(원계열),뉴스심리지수,원자재구입가격실적,"M2(말잔, 원계열)",미국M2,USBIR,KOBIR,KOTN,USTN,달러결제수출금액,달러결제수입금액,달러결제수출비율,달러결제수입비율,한국생산자물가지수,미국생산자물가지수,한국외환보유액,미국외환보유액,한국실업률,미국실업률,KOSPI,Dow Jones
105,201310,1058.2,97.6,94.86,104,1911112.6,10933.0,0.125,2.5,3.44,2.554,42411.7,38279.5,84,83.9,105.33,106.92,343226,149475.12,3.1,7.2,2030.09,15545.75
106,201311,1055.4,97.8,100.96,102,1928640.5,10977.2,0.125,2.5,3.584,2.745,40481.7,36263.4,84.5,84.1,105.12,107.31,345012,146356.12,3.1,6.9,2044.87,16086.41
107,201312,1070.4,97.7,96.59,103,1920795,11104.3,0.125,2.5,3.653,3.028,40977.2,37304.9,85.4,84.1,105.36,107.99,346460,145740.02,3.2,6.7,2011.34,16576.66
108,201401,1067.5,100.2,93.56,103,1946307.2,11101.6,0.125,2.5,3.647,2.644,38592,38924,84.7,87,105.64,108.19,348394,144373.7,3.2,6.6,1941.15,15698.85
109,201402,1064.7,102.4,97.52,104,1959558,11153.4,0.125,2.5,3.522,2.648,36214.7,35301.7,84.4,83.9,105.78,108.28,351792,146056.57,3.6,6.7,1979.99,16321.71
110,201403,1033.2,100.8,104.12,98,1961050.4,11278.4,0.125,2.5,3.543,2.718,42007.4,38413,85.6,84.3,105.73,108.38,354341,144938.89,3.4,6.7,1985.61,16457.66
111,201404,1020.1,102.1,104.79,101,1962033.7,11331.6,0.125,2.5,3.54,2.646,42966,38314.8,85.5,83.5,105.57,108.77,355845,144549.34,3.6,6.2,1961.79,16580.84
112,201405,1011.8,100.6,102.91,101,1993855,11274.8,0.125,2.5,3.402,2.476,40744.5,35781.4,85.6,84,105.55,108.77,360913,143068.74,3.5,6.3,1994.96,16717.17
113,201406,1027.9,97.2,101.99,104,2000102,11336.8,0.125,2.5,3.286,2.53,41299,35791.8,86.3,84.3,105.6,108.28,366546,144111.75,3.5,6.1,2002.21,16826.6
114,201407,1014,95.3,104.41,97,2016552.1,11391.8,0.125,2.5,3.056,2.558,40799.4,38437.3,84.6,83.8,105.68,108.58,368026,144203.46,3.5,6.2,2076.12,16563.3
115,201408,1055.2,97.5,108.61,99,2037820.9,11422.7,0.125,2.25,3.086,2.343,40003.3,36304.8,86.8,84.8,105.57,107.99,367534,141679.08,3.6,6.1,2068.54,17098.45
116,201409,1068.5,100.2,102.21,97,2036546.5,11470.6,0.125,2.25,3.012,2.489,41283.3,37480.1,87,84.8,105.19,107.5,364407,138139.2,3.5,5.9,2020.09,17042.9
117,201410,1107.9,95.5,96.51,100,2068136,11538.6,0.125,2,2.769,2.335,44155.3,37337.9,85.5,84.7,104.45,106.92,363723,136473.1,3.6,5.7,1964.43,17390.52
118,201411,1099.3,97.1,105.14,97,2093184,11615.0,0.125,2,2.692,2.164,40532.9,34633.4,87,83.8,104.13,106.73,363095,134571.29,3.5,5.8,1980.78,17828.24
119,201412,1093.5,96.2,100.09,95,2077234,11760.0,0.125,2,2.681,2.171,42787.7,36394.6,86.5,82.9,103.11,107.02,363593,132221.03,3.6,5.6,1915.59,17823.07
120,201501,1098.4,97.8,104.49,90,2096198.3,11759.0,0.125,2,2.415,1.641,39018.5,33112.1,86.5,84.3,101.85,107.02,362186,126751.36,3.5,5.7,1949.26,17164.95
121,201502,1109.5,102.4,106.28,94,2120316.5,11847.1,0.125,2,2.346,1.993,36063.2,27950.3,87,82.2,101.92,107.41,362370,126154.03,3.6,5.5,1985.8,18132.7
122,201503,1072.4,100.7,112.7,99,2127954.4,11956.7,0.125,1.75,2.276,1.923,40354.8,31348.1,86.2,81.5,101.8,107.8,362750,123191.42,3.5,5.4,2041.03,17776.12
123,201504,1108.2,103,115.28,99,2146427.4,12004.7,0.125,1.75,2.177,2.032,39730.5,30886.5,86,81.6,101.76,107.99,369902,120220,3.6,5.4,2127.17,17840.52
124,201505,1115.5,101.5,109.25,104,2175557.4,11907.9,0.125,1.75,2.49,2.121,36293.9,29861.3,85.7,82.9,101.83,107.7,371506,119759.5,3.7,5.6,2114.8,18010.68
125,201506,1170,91.3,100.91,101,2191606.1,11962.5,0.125,1.5,2.468,2.353,40427.6,29601.8,86.8,80.9,101.78,107.12,374749,120820.13,3.8,5.3,2074.2,17619.51
126,201507,1182.5,95.1,102.89,97,2196934.7,12012.9,0.125,1.5,2.45,2.18,39293.1,31752.7,86,82.2,101.4,107.02,370822,119210.93,3.7,5.2,2030.16,17689.86
127,201508,1185.3,96.5,95.62,94,2218472.5,12070.4,0.125,1.5,2.308,2.218,33729.5,28448.9,86.2,81.8,100.78,106.63,367938,120740.32,3.7,5.1,1941.49,16528.03
128,201509,1140.1,96.1,100.75,103,2220730.1,12138.2,0.125,1.5,2.216,2.037,37325,27952.5,85.9,80.9,100.33,106.34,368114,120974.25,3.5,5,1962.81,16284.7
129,201510,1158.1,96.8,109.66,97,2239898.7,12171.5,0.125,1.5,2.088,2.142,36638.6,30211,84.5,82.2,99.65,106.92,369601,119639.71,3.5,5,2029.47,17663.54
130,201511,1172.5,96.5,106.13,94,2239271.9,12297.9,0.125,1.5,2.254,2.206,38496.2,27629,86.9,81.1,99.25,106.82,368463,117028.41,3.6,5.1,1991.97,17719.92
131,201512,1199.1,93.4,101.4,92,2247375,12427.3,0.375,1.5,2.181,2.269,36073,28126.2,85.1,79.3,99.02,106.92,367962,118457.36,3.5,5,1961.31,17425.03
132,201601,1236.7,93.4,96.32,95,2271577.1,12478.4,0.375,1.5,2.025,1.921,30644.3,25001.8,84.5,79.8,98.49,107.21,367293,117337.16,3.4,4.8,1912.06,16466.3
